Periodo,total-one_adult,total-couple_alone,total-couple_with_others,total-other_forms,men-one_adult,men-couple_alone,men-couple_with_others,men-other_forms,women-one_adult,women-couple_alone,women-couple_with_others,women-other_forms
2004,23.4,35.5,21.2,19.9,13.9,45.4,30.0,10.6,30.3,28.1,14.8,26.7
2005,23.5,35.5,21.3,19.7,14.1,45.9,29.9,10.2,30.4,27.8,14.9,26.8
2006,23.6,35.8,21.3,19.3,13.7,46.0,29.9,10.4,30.9,28.3,14.9,25.8
2007,23.8,36.3,21.2,18.7,14.4,46.5,29.1,9.9,30.7,28.8,15.3,25.3
2008,23.2,35.9,22.1,18.8,14.7,45.4,30.6,9.2,29.5,28.8,15.7,26.0
2009,23.0,36.3,21.8,18.9,15.1,45.7,29.7,9.6,28.9,29.3,15.9,25.8
2010,22.0,37.7,21.4,18.9,13.4,47.7,29.2,9.7,28.5,30.1,15.6,25.8
2011,21.7,38.8,20.1,19.4,13.3,49.1,27.5,10.1,28.1,31.0,14.5,26.4
2012,22.4,39.2,18.4,20.0,14.4,49.9,24.6,11.1,28.4,31.1,13.8,26.7
2013,22.5,39.8,18.2,19.5,14.5,50.4,24.1,10.9,28.7,31.6,13.6,26.1
2014,23.3,40.3,18.2,18.2,15.7,50.6,24.3,9.4,29.1,32.5,13.5,24.9
2015,24.1,39.7,18.3,17.9,17.3,49.5,24.4,8.9,29.4,32.1,13.6,24.9
2016,24.7,39.3,18.9,17.2,17.3,48.7,25.1,8.9,30.4,32.0,14.0,23.6
2017,24.6,39.9,17.5,18.0,17.7,49.3,23.4,9.6,29.9,32.6,12.9,24.5
2018,25.2,39.7,18.3,16.8,17.8,49.2,24.4,8.7,31.0,32.3,13.5,23.2
2019,24.4,40.3,18.9,16.3,17.2,49.3,25.2,8.3,30.1,33.3,14.1,22.5
2020,23.4,42.1,18.6,15.8,15.8,51.6,24.8,7.9,29.4,34.7,13.8,22.1
